	doc	test_sec	test_name	test_num	with	when	then
0	36523-1-f00_s07_01	7.1.1.1	CCCH mapped to UL SCH/ DL-SCH / Reserved Logical Channel ID	1	UE in E-UTRA RRC_IDLE state and after transmitting a RRCConnectionRequest message	UE receives a MAC PDU on DL SCH and addressed to its T-CRNTI but including a reserved value for LCID	UE discards the MAC PDU
1	36523-1-f00_s07_01	7.1.1.1	CCCH mapped to UL SCH/ DL-SCH / Reserved Logical Channel ID	2	UE receives a MAC PDU on DL SCH and addressed to its T-CRNTI with value 00000B as LCID	UE receives a MAC PDU on DL SCH and addressed to its T-CRNTI with value 00000B as LCID	UE forwards to upper layers the disassembled and demultiplexed SDU on logical channel CCCH
2	36523-1-f00_s07_01	7.1.1.1a	CCCH mapped to UL SCH/ DL-SCH / UE Cat 0	1	UE responds with a RRCConnectionRequest message in a MAC PDU on UL SCH on CCCH indicating LCID 01011	UE receives a Paging message including a matched identity	UE responds with a RRCConnectionRequest message in a MAC PDU on UL SCH on CCCH indicating LCID 01011
3	36523-1-f00_s07_01	7.1.1.2	DTCH or DCCH mapped to UL SCH/ DL-SCH / Reserved Logical Channel ID	1	UE in E-UTRA RRC_Connected state with DRB [Logical channel ID 3] established	UE receives a MAC PDU on DL SCH and addressed to its CRNTI but including a reserved value for LCID	UE shall not forward the disassembled and demultiplexed SDU on the configured logical channels
4	36523-1-f00_s07_01	7.1.1.2	DTCH or DCCH mapped to UL SCH/ DL-SCH / Reserved Logical Channel ID	2	UE receives a MAC PDU on DL SCH and addressed to its CRNTI with value 00011B as LCID	UE receives a MAC PDU on DL SCH and addressed to its CRNTI with value 00011B as LCID	UE shall forward the disassembled and demultiplexed SDU on the corresponding logical channel
5	36523-1-f00_s07_01	7.1.2.1	Correct selection of RACH parameters / Random access preamble and PRACH resource explicitly signalled to the UE by RRC / Non-contention based random access procedure	1	UE in E-UTRA RRC_CONNECTED state	SS sends an RRCConnectionReconfiguration message including RACH-ConfigDedicated information element	UE sends a prach preamble given in the RACH-ConfigDedicated on the target cell
6	36523-1-f00_s07_01	7.1.2.1a	Correct selection of RACH parameters / Random access preamble and PRACH resource explicitly signalled to the UE by RRC / Non-contention based random access procedure for high speed scenario	1	UE in E-UTRA RRC_CONNECTED state	SS sends an RRCConnectionReconfiguration message including RACH-ConfigDedicated information element	UE sends a prach preamble given in the RACH-ConfigDedicated on the target cell which is identified in high speed train area
7	36523-1-f00_s07_01	7.1.2.2	Correct selection of RACH parameters / Random access preamble and PRACH resource explicitly signalled to the UE in PDCCH Order / Non-contention based random access procedure	1	UE in E-UTRA RRC_CONNECTED state	PDCCH control command is received providing Random Access Preamble	UE sends a prach preamble given in the PDCCH Order
8	36523-1-f00_s07_01	7.1.2.2	Correct selection of RACH parameters / Random access preamble and PRACH resource explicitly signalled to the UE in PDCCH Order / Non-contention based random access procedure	2	UE in E-UTRA RRC_CONNECTED state and transmitted PRACH Preamble, after reception of PDCCH order	UE does not receive a matching Random Access response in ra-ResponseWindowSize (hence considers RACH attempt as failed) and PREAMBLE_TRANSMISSION_COUNTER is less than PREAMBLE_TRANS_MAX	UE retransmits the Preamble given in the PDCCH Order
9	36523-1-f00_s07_01	7.1.2.3	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure	1	UE in E-UTRA RRC_IDLE state	SS sends a Paging message to the UE and MAC PDU Size carrying CCCH PDU is less than messageSizeGroupA	UE transmits a random access preamble using a preamble in  group A of random access preambles indicated in SIB2
